number,final record date
51470,2024-09-19 16:00:00+08:00
51477,2024-09-19 16:00:00+08:00
51482,2024-09-19 16:00:00+08:00
51495,2024-09-19 16:00:00+08:00
51526,2024-09-19 17:00:00+08:00
51542,2024-09-19 16:00:00+08:00
51559,2024-09-19 16:00:00+08:00
51567,2024-09-19 16:00:00+08:00
51568,2024-09-19 16:00:00+08:00
51571,2024-09-19 16:00:00+08:00
51572,2024-09-19 17:00:00+08:00
51573,2024-09-19 16:00:00+08:00
51581,2024-09-19 16:00:00+08:00
51627,2024-09-19 16:00:00+08:00
51628,2024-09-19 17:00:00+08:00
51629,2024-09-19 16:00:00+08:00
51633,2024-09-19 16:00:00+08:00
51636,2024-09-19 16:00:00+08:00
51639,2024-09-19 16:00:00+08:00
51642,2024-09-19 16:00:00+08:00
51644,2024-09-19 16:00:00+08:00
51655,2024-09-19 16:00:00+08:00
51656,2024-09-19 17:00:00+08:00
51701,2024-09-19 16:00:00+08:00
51704,2024-09-19 17:00:00+08:00
51705,2024-09-19 16:00:00+08:00
51707,2024-09-19 16:00:00+08:00
51708,2024-09-19 16:00:00+08:00
51709,2024-09-19 17:00:00+08:00
51711,2024-09-19 16:00:00+08:00
51716,2024-09-19 16:00:00+08:00
51717,2024-09-19 16:00:00+08:00
51720,2024-09-19 16:00:00+08:00
51722,2024-09-19 16:00:00+08:00
51730,2024-09-19 16:00:00+08:00
51747,2024-09-19 16:00:00+08:00
51765,2024-09-19 16:00:00+08:00
51777,2024-09-19 16:00:00+08:00
51802,2024-09-19 16:00:00+08:00
51804,2024-09-19 16:00:00+08:00
51810,2024-09-19 16:00:00+08:00
51811,2024-09-19 17:00:00+08:00
51814,2024-09-19 17:00:00+08:00
51815,2024-09-19 17:00:00+08:00
51818,2024-09-19 17:00:00+08:00
51826,2024-09-19 17:00:00+08:00
51827,2024-09-19 17:00:00+08:00
51828,2024-09-19 17:00:00+08:00
51829,2024-09-19 17:00:00+08:00
51839,2024-09-19 17:00:00+08:00
51855,2024-09-19 17:00:00+08:00
51886,2024-09-19 19:00:00+08:00
51931,2024-09-19 17:00:00+08:00
52101,2024-09-19 17:00:00+08:00
52112,2024-09-19 17:00:00+08:00
52118,2024-09-19 17:00:00+08:00
52203,2024-09-19 17:00:00+08:00
52267,2024-09-19 15:00:00+08:00
52313,2024-09-19 17:00:00+08:00
52323,2024-09-19 18:00:00+08:00
52378,2024-09-19 15:00:00+08:00
52418,2024-09-19 18:00:00+08:00
52424,2024-09-19 18:00:00+08:00
52436,2024-09-19 18:00:00+08:00
52446,2024-09-19 18:00:00+08:00
52447,2024-09-19 18:00:00+08:00
52495,2024-09-19 15:00:00+08:00
52515,2024-09-19 18:00:00+08:00
52533,2024-09-19 18:00:00+08:00
52546,2024-09-19 18:00:00+08:00
52557,2024-09-19 18:00:00+08:00
52575,2024-09-19 15:00:00+08:00
52576,2024-09-19 15:00:00+08:00
52602,2024-09-19 19:00:00+08:00
52607,2024-09-19 15:00:00+08:00
52633,2024-09-19 19:00:00+08:00
52643,2024-09-19 18:00:00+08:00
52645,2024-09-19 19:00:00+08:00
52652,2024-09-19 18:00:00+08:00
52656,2024-09-19 18:00:00+08:00
52657,2024-09-19 19:00:00+08:00
52661,2024-09-19 18:00:00+08:00
52674,2024-09-19 18:00:00+08:00
52675,2024-09-19 18:00:00+08:00
52679,2024-09-19 18:00:00+08:00
52681,2024-09-19 18:00:00+08:00
52707,2024-09-19 19:00:00+08:00
52713,2024-09-19 19:00:00+08:00
52737,2024-09-19 19:00:00+08:00
52745,2024-09-19 19:00:00+08:00
52754,2024-09-19 19:00:00+08:00
52765,2024-09-19 19:00:00+08:00
52784,2024-09-19 18:00:00+08:00
52787,2024-09-19 18:00:00+08:00
52797,2024-09-19 18:00:00+08:00
52818,2024-09-19 19:00:00+08:00
52825,2024-09-19 19:00:00+08:00
52833,2024-09-19 19:00:00+08:00
52836,2024-09-19 19:00:00+08:00
52842,2024-09-19 19:00:00+08:00
52853,2024-09-19 19:00:00+08:00
52854,2024-09-19 19:00:00+08:00
52855,2024-09-19 19:00:00+08:00
52856,2024-09-19 19:00:00+08:00
52862,2024-09-19 19:00:00+08:00
52863,2024-09-19 19:00:00+08:00
52866,2024-09-19 19:00:00+08:00
52868,2024-09-19 19:00:00+08:00
52869,2024-09-19 19:00:00+08:00
52874,2024-09-19 19:00:00+08:00
52875,2024-09-19 19:00:00+08:00
52876,2024-09-19 19:00:00+08:00
52877,2024-09-19 19:00:00+08:00
52881,2024-09-19 18:00:00+08:00
52884,2024-09-19 18:00:00+08:00
52885,2024-09-19 18:00:00+08:00
52889,2024-09-19 18:00:00+08:00
52895,2024-09-19 18:00:00+08:00
52896,2024-09-19 18:00:00+08:00
52908,2024-09-19 19:00:00+08:00
52941,2024-09-12 11:00:00+08:00
52943,2024-09-19 19:00:00+08:00
52955,2024-09-19 19:00:00+08:00
52957,2024-09-19 19:00:00+08:00
52963,2024-09-19 19:00:00+08:00
52968,2024-09-19 19:00:00+08:00
52972,2024-09-19 19:00:00+08:00
52974,2024-09-19 19:00:00+08:00
52978,2024-09-19 18:00:00+08:00
52980,2024-09-19 18:00:00+08:00
52981,2024-09-19 18:00:00+08:00
52982,2024-09-19 18:00:00+08:00
52983,2024-09-19 18:00:00+08:00
52984,2024-09-19 18:00:00+08:00
52985,2024-09-19 18:00:00+08:00
52986,2024-09-19 18:00:00+08:00
52988,2024-09-19 18:00:00+08:00
52993,2024-09-19 18:00:00+08:00
52995,2024-09-19 18:00:00+08:00
52996,2024-09-19 18:00:00+08:00
52998,2024-09-19 18:00:00+08:00
53068,2024-09-19 15:00:00+08:00
53083,2024-09-19 15:00:00+08:00
53149,2024-09-19 15:00:00+08:00
53192,2024-09-19 15:00:00+08:00
53195,2024-09-19 15:00:00+08:00
53231,2024-09-19 15:00:00+08:00
53272,2024-09-19 15:00:00+08:00
53276,2024-09-19 15:00:00+08:00
53289,2024-09-19 15:00:00+08:00
53324,2024-09-19 15:00:00+08:00
53336,2024-09-19 15:00:00+08:00
53337,2024-09-19 15:00:00+08:00
53343,2024-09-19 15:00:00+08:00
53348,2024-09-19 15:00:00+08:00
53352,2024-09-19 15:00:00+08:00
53357,2024-09-19 15:00:00+08:00
53362,2024-09-19 15:00:00+08:00
53367,2024-09-19 15:00:00+08:00
53368,2024-09-19 15:00:00+08:00
53378,2024-09-19 15:00:00+08:00
53384,2024-09-19 15:00:00+08:00
53385,2024-09-19 15:00:00+08:00
53391,2024-09-19 15:00:00+08:00
53392,2024-09-19 17:00:00+08:00
53397,2024-09-19 17:00:00+08:00
53399,2024-09-19 17:00:00+08:00
53419,2024-09-19 15:00:00+08:00
53420,2024-09-19 15:00:00+08:00
53433,2024-09-19 15:00:00+08:00
53446,2024-09-19 15:00:00+08:00
53455,2024-09-19 15:00:00+08:00
53457,2024-09-19 15:00:00+08:00
53463,2024-09-19 15:00:00+08:00
53464,2024-09-19 15:00:00+08:00
53466,2024-09-19 15:00:00+08:00
53467,2024-09-19 15:00:00+08:00
53469,2024-09-19 15:00:00+08:00
53472,2024-09-19 15:00:00+08:00
53475,2024-09-19 15:00:00+08:00
53478,2024-09-19 16:00:00+08:00
